Accession,Species,Genus,Family
NC_009561.1,Lindernia anagallis yellow vein betasatellite,Betasatellite,Tolecusatellitidae
NC_001896.1,Woolly monkey hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
NC_016143.1,Higrevirus waimanalo,Higrevirus,Kitaviridae
NC_077762.1,Chuvivirus canceris,Chuvivirus,Chuviridae
NC_055182.1,Orthobunyavirus macauaense,Orthobunyavirus,Peribunyaviridae
NC_055425.1,Uukuvirus tachengense,Uukuvirus,Phenuiviridae
NC_077899.1,Orthobunyavirus akabaneense,Orthobunyavirus,Peribunyaviridae
NC_011583.1,East African cassava mosaic Kenya virus,Begomovirus,Geminiviridae
NC_002470.1,Turkey astrovirus,Avastrovirus,Astroviridae
NC_011620.1,Potato virus X,Potexvirus,Alphaflexiviridae
NC_004729.1,Indian peanut clump virus,Pecluvirus,Virgaviridae
NC_007570.1,Rotavirus C,Rotavirus,Sedoreoviridae
NC_019034.1,Jatropha mosaic Nigeria virus,Begomovirus,Geminiviridae
NC_033738.1,Badnavirus tessellotheobromae,Badnavirus,Caulimoviridae
NC_022559.1,Wallal virus,Orbivirus,Sedoreoviridae
NC_077764.1,Scarabeuvirus lishiense,Scarabeuvirus,Chuviridae
NC_010750.1,Mycoreovirus 1,Mycoreovirus,Spinareoviridae
NC_074585.1,Gredihovirus agrihabitans,Gredihovirus,Steitzviridae
NC_048670.1,Yonseivirus N137,Yonseivirus,Casjensviridae
NC_076695.1,Duamitovirus nepa1,Duamitovirus,Mitoviridae
NC_017859.1,American hop latent virus,Carlavirus,Betaflexiviridae
NC_010441.2,Tomato leaf curl Cotabato virus,Begomovirus,Geminiviridae
NC_074051.1,Pehohrivirus asiovicinum,Pehohrivirus,Fiersviridae
NC_022129.1,Ageratum latent virus,Ilarvirus,Bromoviridae
NC_073876.1,Bihdovirus pelohabitans,Bihdovirus,Fiersviridae
NC_005890.1,Duck hepatitis B virus,Avihepadnavirus,Hepadnaviridae
NC_023874.2,Cyclovirus humana,Cyclovirus,Circoviridae
NC_074616.1,Gredihovirus humicola,Gredihovirus,Steitzviridae
NC_049974.1,Salasvirus Gxv1,Salasvirus,Salasmaviridae
NC_004626.1,Ageratum yellow vein virus,Begomovirus,Geminiviridae
NC_012789.1,Tomato leaf curl Pakistan alphasatellite,Colecusatellite,Alphasatellitidae
NC_062774.1,Jahgtovirus intestinalis,Jahgtovirus,Intestiviridae
NC_078054.1,Phlebovirus claroense,Phlebovirus,Phenuiviridae
NC_043255.1,Feldmannia irregularis virus a,Phaeovirus,Phycodnaviridae
NC_003562.1,Faba bean necrotic yellows virus,Nanovirus,Nanoviridae
NC_024073.1,Enterovirus sp.,Enterovirus,Picornaviridae
NC_009527.1,Lyssavirus hamburg,Lyssavirus,Rhabdoviridae
NC_040735.1,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae
NC_003626.1,Waikavirus zeae,Waikavirus,Secoviridae
NC_038280.1,Sigmavirus immigrans,Sigmavirus,Rhabdoviridae
NC_038451.1,Ludwigia yellow vein Vietnam virus,Begomovirus,Geminiviridae
NC_003624.1,Orthotospovirus impatiensnecromaculae,Orthotospovirus,Tospoviridae
NC_008779.1,Sida yellow mosaic Yucatan virus,Begomovirus,Geminiviridae
NC_020102.1,Aspergillus foetidus dsRNA mycovirus,Alternavirus,Alternaviridae
NC_077205.1,Army ant associated cyclovirus 9,Cyclovirus,Circoviridae
NC_074053.1,Philtcovirus borboradaptatum,Philtcovirus,Fiersviridae
NC_018856.1,Bastillevirus bastille,Bastillevirus,Herelleviridae
NC_043262.1,Bracoviriform inaniti,Bracoviriform,Polydnaviriformidae
NC_028117.1,Betapolyomavirus myoglareolus,Betapolyomavirus,Polyomaviridae
NC_077033.1,Dependoparvovirus avian1,Dependoparvovirus,Parvoviridae
NC_074122.1,Trucevirus pedenecus,Trucevirus,Fiersviridae
NC_004086.1,Icerudivirus SIRV2,Icerudivirus,Rudiviridae
NC_038696.1,Orthohantavirus rockportense,Orthohantavirus,Hantaviridae
NC_025808.1,Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_017917.1,Maize streak Reunion virus,Mastrevirus,Geminiviridae
NC_008094.1,Y73 sarcoma virus,Alpharetrovirus,Retroviridae
NC_010946.1,Pumpkin yellow mosaic virus,Begomovirus,Geminiviridae
NC_006658.1,Bracoviriform congregatae,Bracoviriform,Polydnaviriformidae
NC_073992.1,Mahqeavirus limihabitans,Mahqeavirus,Fiersviridae
NC_055216.1,Orthonairovirus esteroense,Orthonairovirus,Nairoviridae
NC_076690.1,Alphafusarivirus rhizoctoniae,Alphafusarivirus,Fusariviridae
NC_028770.1,Pseudomonas virus PaMx11,Abidjanvirus,Mesyanzhinovviridae
NC_041915.1,Friunavirus AS11,Friunavirus,Autographiviridae
NC_043517.1,Pepper leafroll virus,Begomovirus,Geminiviridae
NC_020896.1,Sweet potato latent virus,Potyvirus,Potyviridae
NC_026319.1,Porprismacovirus goras1,Porprismacovirus,Smacoviridae
NC_030147.1,Gemygorvirus cania1,Gemygorvirus,Genomoviridae
NC_055306.1,Phlebovirus itaitubaense,Phlebovirus,Phenuiviridae
NC_047886.1,Unyawovirus DUPPII,Unyawovirus,Autographiviridae
NC_003501.1,Brome streak mosaic virus,Tritimovirus,Potyviridae
NC_077068.1,Rose virus B,Carlavirus,Betaflexiviridae
NC_044944.1,African swine fever virus,Asfivirus,Asfarviridae
NC_076740.1,Magoulivirus alphaplasmoparae,Magoulivirus,Botourmiaviridae
NC_021335.1,Halorubrum tailed phage 7,Mincapvirus,Hafunaviridae
NC_023866.1,Cyclovirus libelula,Cyclovirus,Circoviridae
NC_078007.1,Tai Forest coltivirus,Coltivirus,Spinareoviridae
NC_014406.1,Deltapolyomavirus sextihominis,Deltapolyomavirus,Polyomaviridae
NC_043532.1,Paris mosaic necrosis virus,Potyvirus,Potyviridae
NC_038859.1,Lymphocryptovirus paninegamma1,Lymphocryptovirus,Orthoherpesviridae
NC_014526.1,Great Island virus,Orbivirus,Sedoreoviridae
NC_076116.1,Sida yellow vein virus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_013259.1,Tomato infectious chlorosis virus,Crinivirus,Closteroviridae
NC_047965.1,Pifdecavirus pv22PfluR64PP,Pifdecavirus,Autographiviridae
NC_027776.1,Gemycircularvirus chickad1,Gemycircularvirus,Genomoviridae
NC_036803.1,Pepper vein yellows virus 5,Polerovirus,Solemoviridae
NC_078888.1,Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
NC_047996.1,Tunavirus BIFF,Tunavirus,Drexlerviridae
NC_038442.1,Chilli leaf curl Vellanad virus,Begomovirus,Geminiviridae
NC_030862.1,Unuamitovirus fupo2,Unuamitovirus,Mitoviridae
NC_049826.1,Hanrivervirus aaroes,Hanrivervirus,Drexlerviridae
NC_025440.1,Pecentumvirus WIL1,Pecentumvirus,Herelleviridae
NC_024788.1,Bequatrovirus riley,Bequatrovirus,Herelleviridae
NC_025807.1,Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_055427.1,Uukuvirus yongjiaense,Uukuvirus,Phenuiviridae
NC_048037.1,Alphalipothrixvirus SFV1,Alphalipothrixvirus,Lipothrixviridae
NC_005905.1,Gammabaculovirus nesertiferis,Gammabaculovirus,Baculoviridae
NC_055757.1,Krischvirus kfsec,Krischvirus,Straboviridae
NC_005304.1,Beet mosaic virus,Potyvirus,Potyviridae
NC_035483.1,Orthotospovirus tomatoflavi,Orthotospovirus,Tospoviridae
NC_015502.1,Badnavirus epsilonvirgamusae,Badnavirus,Caulimoviridae
NC_003817.1,Subterranean clover stunt virus,Nanovirus,Nanoviridae
NC_001544.1,Ross River virus,Alphavirus,Togaviridae
NC_033824.1,Bat dicibavirus,Salisharnavirus,Marnaviridae
NC_074401.1,Kehruavirus humivicinum,Kehruavirus,Steitzviridae
NC_029561.1,Emaravirus idaeobati,Emaravirus,Fimoviridae
NC_048087.1,Schiekvirus EfV12,Schiekvirus,Herelleviridae
NC_028120.1,Alphapolyomavirus carolliae,Alphapolyomavirus,Polyomaviridae
NC_029853.1,Mus musculus mobilized endogenous polytropic provirus,Gammaretrovirus,Retroviridae
NC_043168.1,Tulip breaking virus,Potyvirus,Potyviridae
NC_017997.1,Gammapapillomavirus 17,Gammapapillomavirus,Papillomaviridae
NC_055919.1,Efbeekayvirus P184,Efbeekayvirus,Schitoviridae
NC_026242.1,Deltanudivirus tipoleraceae,Deltanudivirus,Nudiviridae
NC_055122.1,Circovirus siksparnis,Circovirus,Circoviridae
NC_017970.1,Sweet potato virus 2,Potyvirus,Potyviridae
NC_043035.1,Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
NC_055863.1,Aptresvirus mana,Aptresvirus,Peduoviridae
NC_074206.1,Tinebovirus borborenecus,Tinebovirus,Blumeviridae
NC_076897.1,Sclerotimonavirus cryphonectriae,Sclerotimonavirus,Mymonaviridae
NC_076501.1,Betahymrhavirus heterodontonyx,Betahymrhavirus,Rhabdoviridae
NC_031278.1,Sigmavirus domestica,Sigmavirus,Rhabdoviridae
NC_032929.1,Leocovirus coleopteris,Leocovirus,Lispiviridae
NC_043337.1,Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
NC_038423.1,Orthohantavirus moroense,Orthohantavirus,Hantaviridae
NC_001948.1,Grapevine rupestris stem pitting-associated virus,Foveavirus,Betaflexiviridae
NC_008915.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_001593.1,Alphapapillomavirus 6,Alphapapillomavirus,Papillomaviridae
NC_055389.1,Phlebovirus buenaventuraense,Phlebovirus,Phenuiviridae
NC_073886.1,Breudwovirus borborohabitans,Breudwovirus,Fiersviridae
NC_002035.1,Cucumber mosaic virus,Cucumovirus,Bromoviridae
NC_054921.1,Tequatrovirus ime537,Tequatrovirus,Straboviridae
NC_048161.1,Kayfunavirus GW1,Kayfunavirus,Autographiviridae
NC_048078.1,Teseptimavirus N30,Teseptimavirus,Autographiviridae
NC_076749.1,Magoulivirus kappaplasmoparae,Magoulivirus,Botourmiaviridae
NC_077751.1,Avian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_048055.1,Kalppathivirus P26059B,Kalppathivirus,Autographiviridae
NC_003375.1,Garlic virus A,Allexivirus,Alphaflexiviridae
NC_048661.1,Gregsiragusavirus CPS1,Gregsiragusavirus,Guelinviridae
NC_035477.1,Gemykibivirus anima1,Gemykibivirus,Genomoviridae
NC_038608.1,Orungo virus,Orbivirus,Sedoreoviridae
NC_021781.2,Pecentumvirus LP0832,Pecentumvirus,Herelleviridae
NC_027221.1,Sclerotinia sclerotiorum megabirnavirus 1,Megabirnavirus,Megabirnaviridae
NC_075977.1,Cardiovirus F,Cardiovirus,Picornaviridae
NC_035205.1,Vanilla virus X,Potexvirus,Alphaflexiviridae
NC_005985.1,Pelarspovirus chloropelargonii,Pelarspovirus,Tombusviridae
NC_004367.1,Lymphocryptovirus callitrichinegamma3,Lymphocryptovirus,Orthoherpesviridae
NC_079182.1,Escherichia phage vB_EcoM_Bp10,Carltongylesvirus,Chaseviridae
NC_002331.1,Betabaculovirus xecnigri,Betabaculovirus,Baculoviridae
NC_076429.1,Chaphamaparvovirus primate1,Chaphamaparvovirus,Parvoviridae
NC_076111.1,Betadintovirus terrapene,Betadintovirus,Adintoviridae
NC_043150.1,Kalanchoe mosaic virus,Potyvirus,Potyviridae
NC_074635.1,Japarudivirus SBRV1,Japarudivirus,Rudiviridae
NC_075986.1,Copiparvovirus ungulate4,Copiparvovirus,Parvoviridae
NC_035454.1,Coguvirus citri,Coguvirus,Phenuiviridae
NC_038782.1,Alphachrysovirus verticillii,Alphachrysovirus,Chrysoviridae
NC_076668.1,Alphafusarivirus zymoseptoriae,Alphafusarivirus,Fusariviridae
NC_043646.1,Orthobunyavirus potosiense,Orthobunyavirus,Peribunyaviridae
NC_043321.1,Bracoviriform facetosae,Bracoviriform,Polydnaviriformidae
NC_003788.1,Cheravirus mali,Cheravirus,Secoviridae
NC_018456.1,Soybean chlorotic spot virus,Begomovirus,Geminiviridae
NC_007033.1,Bracoviriform demolitoris,Bracoviriform,Polydnaviriformidae
NC_014791.1,Ugandan cassava brown streak virus,Ipomovirus,Potyviridae
NC_033693.1,Orthoflavivirus boubouiense,Orthoflavivirus,Flaviviridae
NC_008558.1,Blackberry virus Y,Brambyvirus,Potyviridae
NC_033740.1,Psipapillomavirus 2,Psipapillomavirus,Papillomaviridae
NC_031448.1,Macroptilium common mosaic virus,Begomovirus,Geminiviridae
NC_017829.1,Cotton leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_002351.1,Soil-borne cereal mosaic virus,Furovirus,Virgaviridae
NC_048645.1,Pseudotevenvirus leb,Pseudotevenvirus,Straboviridae
NC_074149.1,Eosonovirus caenenecus,Eosonovirus,Solspiviridae
NC_024685.1,Phomopsis longicolla hypovirus,Hypovirus,Hypoviridae
NC_024139.1,Tequintavirus FFH1,Tequintavirus,Demerecviridae
NC_008184.1,Upsilonpapillomavirus 2,Upsilonpapillomavirus,Papillomaviridae
NC_009530.1,Iflavirus brebrassicae,Iflavirus,Iflaviridae
NC_011537.1,Tymovirus scrophulariae,Tymovirus,Tymoviridae
NC_038405.1,Cyclovirus gaaye,Cyclovirus,Circoviridae
NC_004642.1,Tomato severe leaf curl virus,Begomovirus,Geminiviridae
NC_003376.1,Garlic virus C,Allexivirus,Alphaflexiviridae
NC_029903.1,Phlebovirus torosense,Phlebovirus,Phenuiviridae
NC_078442.1,Emaravirus syringae,Emaravirus,Fimoviridae
NC_038716.1,Alajuela orthobunyavirus,Orthobunyavirus,Peribunyaviridae
NC_077202.1,Army ant associated cyclovirus 5,Cyclovirus,Circoviridae
NC_041840.1,Nitunavirus SPG24,Nitunavirus,Herelleviridae
NC_040672.1,Aveparvovirus gruiform1,Aveparvovirus,Parvoviridae
NC_011068.1,Ourmia melon virus,Ourmiavirus,Botourmiaviridae
NC_076878.1,Copasivirus ivindoense,Copasivirus,Lispiviridae
NC_078319.1,Mobuvirus narangueense,Mobuvirus,Phenuiviridae
NC_025455.1,Kembevirus SCBP2,Kembevirus,Autographiviridae
NC_007341.1,Tomato chlorosis virus,Crinivirus,Closteroviridae
NC_040737.1,Betachrysovirus alternariae,Betachrysovirus,Chrysoviridae
NC_004810.1,Cucurbit yellow stunting disorder virus,Crinivirus,Closteroviridae
NC_031100.1,Bacillus phage Phrodo,Bequatrovirus,Herelleviridae
NC_021581.1,Rotavirus G,Rotavirus,Sedoreoviridae
NC_027814.1,Tibet orbivirus,Orbivirus,Sedoreoviridae
NC_024377.1,Pegivirus platyrrhini,Pegivirus,Flaviviridae
NC_055542.1,Ambrosia asymptomatic virus 1,Potexvirus,Alphaflexiviridae
NC_074339.1,Gredihovirus tellurihabitans,Gredihovirus,Steitzviridae
NC_041841.1,Nitunavirus SPG24,Nitunavirus,Herelleviridae
NC_074461.1,Psouhdivirus pedovicinum,Psouhdivirus,Steitzviridae
NC_007046.1,Rosenblumvirus rv66,Rosenblumvirus,Rountreeviridae
NC_076678.1,Rhizoulivirus betarhizoctoniae,Rhizoulivirus,Botourmiaviridae
NC_076702.1,Unuamitovirus enmu4,Unuamitovirus,Mitoviridae
NC_007030.2,Bracoviriform demolitoris,Bracoviriform,Polydnaviriformidae
NC_008996.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_018136.1,Bandavirus dabieense,Bandavirus,Phenuiviridae
NC_076032.1,Pestivirus tauri,Pestivirus,Flaviviridae
NC_073772.1,Chinihovirus lutihabitans,Chinihovirus,Atkinsviridae
NC_023845.1,Alphapolyomavirus procyonis,Alphapolyomavirus,Polyomaviridae
NC_074776.1,Cyclovirus kisikisi,Cyclovirus,Circoviridae
NC_031756.1,Treiskappapapillomavirus 1,Treiskappapapillomavirus,Papillomaviridae
NC_038400.1,Cyclovirus yarasa,Cyclovirus,Circoviridae
NC_078133.1,Orthonairovirus issykkulense,Orthonairovirus,Nairoviridae
NC_009947.1,Alphachrysovirus cerasi,Alphachrysovirus,Chrysoviridae
NC_032275.1,Yuyuevirus beihaiense,Yuyuevirus,Yueviridae
NC_076905.1,Betabaculovirus maphaseoli,Betabaculovirus,Baculoviridae
NC_011639.1,Hapavirus wongabel,Hapavirus,Rhabdoviridae
NC_075281.1,Grusopivirus A,Grusopivirus,Picornaviridae
NC_006554.1,Sapporo virus,Sapovirus,Caliciviridae
NC_001886.1,Wheat streak mosaic virus,Tritimovirus,Potyviridae
NC_004182.1,Colorado tick fever coltivirus,Coltivirus,Spinareoviridae
NC_074355.1,Gulmivirus asiovivens,Gulmivirus,Steitzviridae
NC_018083.1,Brucesealvirus CPV4,Brucesealvirus,Guelinviridae
NC_077930.1,Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae
NC_078011.1,Tai Forest coltivirus,Coltivirus,Spinareoviridae
NC_013231.1,Mammalian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_024490.1,Mirabilis leaf curl India virus associated betasatellite,Betasatellite,Tolecusatellitidae
NC_034533.1,Hapavirus landjia,Hapavirus,Rhabdoviridae
NC_006551.1,Orthoflavivirus usutuense,Orthoflavivirus,Flaviviridae
NC_076739.1,Betabotoulivirus gammaplasmoparae,Betabotoulivirus,Botourmiaviridae
NC_003510.1,Beet virus Q,Pomovirus,Virgaviridae
NC_006661.1,Bracoviriform congregatae,Bracoviriform,Polydnaviriformidae
NC_025898.1,Alphapolyomavirus tertichlopygerythrus,Alphapolyomavirus,Polyomaviridae
NC_021546.1,Rotavirus B,Rotavirus,Sedoreoviridae
NC_025963.1,Parapoxvirus of red deer in New Zealand,Parapoxvirus,Poxviridae
NC_004752.1,Yam mosaic virus,Potyvirus,Potyviridae
NC_027930.1,Privet ringspot virus,Ilarvirus,Bromoviridae
NC_027016.1,Cytomegalovirus cercopithecinebeta5,Cytomegalovirus,Orthoherpesviridae
NC_039042.1,Xipapillomavirus 5,Xipapillomavirus,Papillomaviridae
NC_070710.1,Streptococcus phage P9901,Moineauvirus,Aliceevansviridae
NC_038603.1,Lebombo virus,Orbivirus,Sedoreoviridae
NC_074248.1,Bahnicevirus defluviicola,Bahnicevirus,Steitzviridae
NC_078354.1,Phlebovirus kiborgochense,Phlebovirus,Phenuiviridae
NC_025822.1,Kaohsiungvirus A318,Kaohsiungvirus,Autographiviridae
NC_009546.1,Mimosa yellow leaf curl virus,Begomovirus,Geminiviridae
NC_034210.1,Circovirus sp.,Circovirus,Circoviridae
NC_078872.1,Orthophasmavirus philoctetis,Orthophasmavirus,Phasmaviridae
NC_014969.1,Fowl aviadenovirus E,Aviadenovirus,Adenoviridae
NC_014521.1,Rotavirus D,Rotavirus,Sedoreoviridae
NC_041981.1,Klebsiella virus Miro,Slopekvirus,Straboviridae
NC_074059.1,Piponevirus borborenecus,Piponevirus,Fiersviridae
NC_019528.1,Aerosvirus AS7,Aerosvirus,Autographiviridae
NC_034450.1,Hapavirus kamese,Hapavirus,Rhabdoviridae
NC_030799.1,Dyoxipapillomavirus 2,Dyoxipapillomavirus,Papillomaviridae
NC_020871.1,Pecentumvirus AG20,Pecentumvirus,Herelleviridae
NC_009570.1,Tomato leaf curl Philippine betasatellite,Betasatellite,Tolecusatellitidae
NC_027543.1,Wad Medani virus,Orbivirus,Sedoreoviridae
NC_074002.1,Mihkrovirus pedovivens,Mihkrovirus,Fiersviridae
NC_074466.1,Pujohnavirus chthonohabitans,Pujohnavirus,Steitzviridae
NC_001421.2,Alphatectivirus PRD1,Alphatectivirus,Tectiviridae
NC_040815.1,Hepacivirus P,Hepacivirus,Flaviviridae
NC_078436.1,Laulavirus alphaviticulum,Laulavirus,Phenuiviridae
NC_049448.1,Gegevirus ST437OXA245phi41,Gegevirus,Peduoviridae
NC_074075.1,Psehatovirus edaphohabitans,Psehatovirus,Fiersviridae
NC_028125.1,Gammapapillomavirus 20,Gammapapillomavirus,Papillomaviridae
NC_011502.2,Rotavirus A,Rotavirus,Sedoreoviridae
NC_075310.1,Gemycircularvirus mocha1,Gemycircularvirus,Genomoviridae
NC_075027.1,Inovirus M13,Inovirus,Inoviridae
NC_015375.1,Phlebovirus candiruense,Phlebovirus,Phenuiviridae
NC_007211.1,Alternanthera yellow vein virus,Begomovirus,Geminiviridae
NC_033055.1,Alasvirus muscae,Alasvirus,Xinmoviridae
NC_077169.1,Eumops bonariensis associated circovirus 1,Circovirus,Circoviridae
NC_040664.1,Zarhavirus zahedan,Zarhavirus,Rhabdoviridae
NC_009560.1,Tomato yellow leaf curl Vietnam betasatellite,Betasatellite,Tolecusatellitidae
NC_076754.1,Magoulivirus omicronplasmoparae,Magoulivirus,Botourmiaviridae
NC_014518.1,Rotavirus D,Rotavirus,Sedoreoviridae
NC_038318.1,Mosavirus A,Mosavirus,Picornaviridae
NC_008005.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_006942.1,Alphanucleorhabdovirus colocasiae,Alphanucleorhabdovirus,Rhabdoviridae
NC_025388.1,Asian prunus virus 1,Foveavirus,Betaflexiviridae
NC_029929.1,Tilapinevirus tilapiae,Tilapinevirus,Amnoonviridae
NC_009640.1,Orthorubulavirus suis,Orthorubulavirus,Paramyxoviridae
NC_077076.1,Sonfela circovirus 2,Circovirus,Circoviridae
NC_047842.1,Przondovirus 2044307w,Przondovirus,Autographiviridae
NC_078407.1,Tenuivirus eurotritici,Tenuivirus,Phenuiviridae
NC_002195.1,Betatorquevirus homini9,Betatorquevirus,Anelloviridae
NC_076938.1,Sunrhavirus matariya,Sunrhavirus,Rhabdoviridae
NC_010705.1,Ceratocystis resinifera virus 1,Betapartitivirus,Partitiviridae
NC_031305.1,Ledantevirus yongjia,Ledantevirus,Rhabdoviridae
NC_008858.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_038325.1,Caucasus prunus virus,Prunevirus,Betaflexiviridae
NC_079010.1,Beiji nairovirus,Orthonairovirus,Nairoviridae
NC_052973.1,Salvovirus bacata,Salvovirus,Casjensviridae
NC_011829.1,Aichivirus C,Kobuvirus,Picornaviridae
NC_004673.1,Okra yellow vein mosaic virus,Begomovirus,Geminiviridae
NC_047831.1,Wuhanvirus PHB02,Wuhanvirus,Autographiviridae
NC_003678.1,Pestivirus giraffae,Pestivirus,Flaviviridae
NC_008972.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_010646.1,Beluga whale coronavirus SW1,Gammacoronavirus,Coronaviridae
NC_038297.1,Alphamesonivirus 3,Alphamesonivirus,Mesoniviridae
NC_074020.1,Muyegivirus borborenecus,Muyegivirus,Fiersviridae
NC_047933.1,Kirikabuvirus NV3,Kirikabuvirus,Autographiviridae
NC_028675.1,Friunavirus AB1,Friunavirus,Autographiviridae
NC_054971.1,Pourcelvirus Axy10,Pourcelvirus,Schitoviridae
NC_055769.1,Gruunavirus turuncu,Gruunavirus,Zierdtviridae
NC_078285.1,Antennavirus salmonis,Antennavirus,Arenaviridae
NC_033168.1,Piscichuvirus sanxiaense,Piscichuvirus,Chuviridae
NC_031014.1,Bifseptvirus andromeda,Bifseptvirus,Autographiviridae
NC_038321.1,Chaetoceros tenuissimus RNA virus 01,Bacillarnavirus,Marnaviridae
NC_010950.1,Tomato yellow vein streak virus,Begomovirus,Geminiviridae
NC_007991.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_007371.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_078271.1,Orthobunyavirus trinitiense,Orthobunyavirus,Peribunyaviridae
NC_078127.1,Aspergillus fumigatus polymycovirus 1,Polymycovirus,Polymycoviridae
NC_009536.1,Citrus variegation virus,Ilarvirus,Bromoviridae
NC_028139.1,Comovirus rugomusivum,Comovirus,Secoviridae
AC_000003.1,Canine mastadenovirus A,Mastadenovirus,Adenoviridae
NC_003735.1,Rice black streaked dwarf virus,Fijivirus,Spinareoviridae
NC_074099.1,Shomudavirus limadaptatum,Shomudavirus,Fiersviridae
NC_016417.1,Grapevine leafroll-associated virus 6,Ampelovirus,Closteroviridae
NC_021867.1,Unahavirus uv6H,Unahavirus,Duneviridae
NC_077670.1,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae
NC_076784.1,Betabotoulivirus zetaplasmoparae,Betabotoulivirus,Botourmiaviridae
NC_055390.1,Rubodvirus mali,Rubodvirus,Phenuiviridae
NC_055739.1,Karamvirus mypsh1140,Karamvirus,Straboviridae
